,0.9,VM,my_lim,min,median,actual,usage,percent
2013-09-29 21:29:00,35.4393119812,237,135.4393119812,22.603427887,28.885099411,,29.25999265,
2013-09-29 21:30:00,35.5584526062,237,135.5584526062,23.1193294525,29.532875061,5852.000058,29.25999265,2.3164465355888764
2013-09-29 21:31:00,35.4411010742,237,135.4411010742,20.30327034,28.6249389648,5852.000058,29.25999265,2.314441212095422
2013-09-29 21:32:00,36.0688095093,237,136.0688095093,22.1322784424,28.0990409851,5852.000058,29.25999265,2.3251676035663498
2013-09-29 21:33:00,36.4920501709,237,136.4920501709,19.9153022766,29.0783519745,5852.000058,29.25999265,2.332400013979973
2013-09-29 21:34:00,36.4543075562,237,136.4543075562,22.7270450592,29.6629333496,5852.000058,29.25999265,2.331755061582059
2013-09-29 21:35:00,36.7756652832,237,136.7756652832,21.9976043701,29.5098800659,5852.000058,29.25999265,2.3372464785987193
2013-09-29 21:36:00,35.8125305176,237,135.8125305176,23.0369091034,29.9666614532,5852.000058,29.25999265,2.3207882633551407
2013-09-29 21:37:00,37.6242637634,237,137.6242637634,19.1662788391,28.4178085327,5852.000058,29.25999265,2.351747477774888
2013-09-29 21:38:00,36.5366859436,237,136.5366859436,22.0778751373,29.697889328,5852.000058,29.25999265,2.333162757866808
2013-09-29 21:39:00,37.3257293701,237,137.3257293701,21.52394104,29.1872596741,5852.000058,29.25999265,2.3466460698743212
2013-09-29 21:40:00,37.0246429443,237,137.0246429443,21.7118453979,29.3970737457,5852.000058,29.25999265,2.3415010523962647
2013-09-29 21:41:00,38.3403091431,237,138.3403091431,23.3748474121,29.4680118561,5852.000058,29.25999265,2.363983386397636
2013-09-29 21:42:00,36.3373947144,237,136.3373947144,21.85455513,30.2453918457,5852.000058,29.25999265,2.3297572345034316
2013-09-29 21:43:00,35.1774291992,237,135.1774291992,23.1996250153,29.702507019,5852.000058,29.25999265,2.3099355410020057
2013-09-29 21:44:00,35.2644500732,237,135.2644500732,19.7493133545,29.1771774292,5852.000058,29.25999265,2.311422568909346
2013-09-29 21:45:00,37.0843086243,237,137.0843086243,23.3800258636,29.59582901,5852.000058,29.25999265,2.3425206299664736
2013-09-29 21:46:00,37.1233406067,237,137.1233406067,22.4797706604,29.5077075958,5852.000058,29.25999265,2.343187615305044
2013-09-29 21:47:00,39.7072601318,237,139.7072601318,22.8030414581,29.0293560028,5852.000058,29.25999265,2.3873420838540946
2013-09-29 21:48:00,35.3933334351,237,135.3933334351,22.4021682739,29.9988193512,5852.000058,29.25999265,2.313624950328051
2013-09-29 21:49:00,35.1032676697,237,135.10326766970002,21.6190872192,29.08477211,5852.000058,29.25999265,2.30866825582147
2013-09-29 21:50:00,35.4620704651,237,135.4620704651,14.6021442413,28.0359172821,5852.000058,29.25999265,2.314799540712855
2013-09-29 21:51:00,36.1533927917,237,136.1533927917,20.9452648163,29.0753536224,5852.000058,29.25999265,2.3266129774823052
2013-09-29 21:52:00,38.8182525635,237,138.8182525635,22.4609832764,29.4398918152,5852.000058,29.25999265,2.3721505671164165
2013-09-29 21:53:00,38.1665725708,237,138.16657257079999,20.6185340881,28.7670021057,5852.000058,29.25999265,2.3610145454786666
2013-09-29 21:54:00,36.0656661987,237,136.0656661987,18.6738185883,29.5987949371,5852.000058,29.25999265,2.325113890125324
2013-09-29 21:55:00,35.8599510193,237,135.8599510193,20.9095058441,28.9768505096,5852.000058,29.25999265,2.3215985931779364
2013-09-29 21:56:00,37.9731636047,237,137.9731636047,21.5679512024,30.1397571564,5852.000058,29.25999265,2.3577095392554424
2013-09-29 21:57:00,36.7039489746,237,136.7039489746,22.7891769409,28.5738372803,5852.000058,29.25999265,2.33602097778038
2013-09-29 21:58:00,37.8293914795,237,137.8293914795,22.395149231,28.760591507,5852.000058,29.25999265,2.3552527360467095
