Timestamp,CPU usage [MHZ],CPU capacity provisioned
2013-06-30 22:00:00,1677021.660338998,38120181.2568729
2013-06-30 23:00:00,1817519.4599896353,38120181.240217894
2013-07-01 00:00:00,1719935.6836598485,38120181.226201884
2013-07-01 01:00:00,1649799.219038807,38120181.23504787
2013-07-01 02:00:00,1731963.0739120233,38120181.24413185
2013-07-01 03:00:00,1667130.2185843396,37938165.30345486
2013-07-01 04:00:00,1626905.935442418,38120181.29662087
2013-07-01 05:00:00,1592491.014286826,37709727.42403587
2013-07-01 06:00:00,1621074.350957137,37908639.34886189
2013-07-01 07:00:00,1923473.6342121833,38120181.25296286
2013-07-01 08:00:00,2919915.6084648054,38120181.25439485
2013-07-01 09:00:00,2639690.390815566,38120181.26635181
2013-07-01 10:00:00,4034221.6429734533,38120181.257507846
2013-07-01 11:00:00,2313830.6010245094,38120181.25897784
2013-07-01 12:00:00,2041862.63780387,38132181.28323487
2013-07-01 13:00:00,2572664.9050890137,38148981.2879329
2013-07-01 14:00:00,4638736.461266934,38068381.299474955
2013-07-01 15:00:00,4431053.704668852,38148981.31233197
2013-07-01 16:00:00,3387118.0438711294,38148981.30057199
2013-07-01 17:00:00,2665556.7549311877,38148981.30151494
2013-07-01 18:00:00,2828377.9686051146,38148981.30052592
2013-07-01 19:00:00,2727256.532923445,38148981.31357192
2013-07-01 20:00:00,2833081.3613144564,38148981.30016194
2013-07-01 21:00:00,3069166.1079201903,38148981.28822797
2013-07-01 22:00:00,2821595.013766692,38017343.27112696
2013-07-01 23:00:00,2267192.5610148106,38148981.2203779
2013-07-02 00:00:00,2141415.785162056,38148981.225899935
2013-07-02 01:00:00,2219124.1709795203,38148981.22638397
2013-07-02 02:00:00,1916907.6941962675,38195781.25590493
2013-07-02 03:00:00,1962195.6059095473,38211381.27225594
2013-07-02 04:00:00,2118516.1514659063,38145077.286093965
2013-07-02 05:00:00,1696543.734814793,38035853.32388398
2013-07-02 06:00:00,1914822.9841870284,38211381.28605294
2013-07-02 07:00:00,1967705.2350098968,38221781.26137491
2013-07-02 08:00:00,2629178.3331537084,36113417.77893402
2013-07-02 09:00:00,2622405.905493488,38032943.268002935
2013-07-02 10:00:00,2622821.8422121583,38371293.218826905
2013-07-02 11:00:00,3189439.515193067,38104365.29144997
2013-07-02 12:00:00,2694451.908369599,38399893.20639189
2013-07-02 13:00:00,2241278.4667286584,38198751.29915794
2013-07-02 14:00:00,2577032.155454921,38338121.24637397
2013-07-02 15:00:00,2267420.381257979,38332293.23605096
2013-07-02 16:00:00,3394443.370999051,38316693.26801392
2013-07-02 17:00:00,3394135.0267913067,38324493.248471916
2013-07-02 18:00:00,3393233.897248512,38402493.21699292
2013-07-02 19:00:00,3360865.1020631706,38402493.21713992
2013-07-02 20:00:00,3364202.69183464,38402493.21534292
2013-07-02 21:00:00,3266228.780635742,38402493.20222393
2013-07-02 22:00:00,3392962.2395972414,38402493.20222393
2013-07-02 23:00:00,3303410.3860563408,38321893.234274924
2013-07-03 00:00:00,3018398.0972525305,38402493.22061092
2013-07-03 01:00:00,2610747.3180708177,38402493.20282393
2013-07-03 02:00:00,2385085.398745449,38402493.20293192
2013-07-03 03:00:00,2351141.8630787833,38402493.21066791
2013-07-03 04:00:00,2123939.595101516,38402493.21843592
2013-07-03 05:00:00,2024210.8555548165,38402493.21843592
2013-07-03 06:00:00,2175184.855934714,38402493.21843592
2013-07-03 07:00:00,2289326.305788217,38402493.21843592
