,0.9,VM,my_lim,min,median,actual,usage,percent
2013-09-29 21:30:00,163.2572631836,106,263.2572631836,143.0257415771,152.322555542,11703.997296,146.29996619999997,2.249293609060998
2013-09-29 21:31:00,160.0074157715,106,260.0074157715,144.6349029541,153.039276123,11703.997296,146.29996619999997,2.2215266220230676
2013-09-29 21:32:00,163.3451690674,106,263.3451690674,143.6275787354,152.6203308105,11703.997296,146.29996619999997,2.2500446847967215
2013-09-29 21:33:00,161.2785644531,106,261.2785644531,140.9138793945,152.4657440186,11703.997296,148.250632416,2.2323874300825026
2013-09-29 21:34:00,161.1463470459,106,261.14634704590003,142.3891448975,152.5001068115,11703.997296,148.250632416,2.231257752726501
2013-09-29 21:35:00,163.0805969238,106,263.0805969238,143.6796569824,150.3209533691,11703.997296,148.250632416,2.247784156731746
2013-09-29 21:36:00,163.5718994141,106,263.5718994141,141.4987335205,151.7459564209,11703.997296,148.250632416,2.251981889163451
2013-09-29 21:37:00,160.1073303223,106,260.10733032229996,137.6304321289,151.5180969238,11703.997296,148.250632416,2.2223803008839993
2013-09-29 21:38:00,163.8462677002,106,263.8462677002,140.9495849609,151.9343719482,11703.997296,146.29996619999997,2.2543261163463617
2013-09-29 21:39:00,157.7105102539,106,257.7105102539,140.3677215576,148.6492462158,11703.997296,146.29996619999997,2.201901655787088
2013-09-29 21:40:00,162.7618255615,106,262.7618255615,138.260345459,149.692489624,11703.997296,146.29996619999997,2.245060545693243
2013-09-29 21:41:00,159.2032775879,106,259.2032775879,144.7776184082,152.8490142822,11703.997296,146.29996619999997,2.214655993439833
2013-09-29 21:42:00,164.8634490967,106,264.86344909670004,146.0771331787,156.2489624023,11703.997296,146.29996619999997,2.263017005200614
2013-09-29 21:43:00,169.518081665,106,269.518081665,149.5878448486,160.4320983887,11703.997296,148.250632416,2.3027866022928034
2013-09-29 21:44:00,177.2595977783,106,277.25959777829996,156.4141845703,165.6820831299,11703.997296,148.250632416,2.3689308085627907
2013-09-29 21:45:00,177.060043335,106,277.060043335,155.2932739258,164.9716186523,11703.997296,148.250632416,2.367225797546015
2013-09-29 21:46:00,174.7253265381,106,274.72532653810003,156.1900939941,163.5375671387,11703.997296,148.250632416,2.347277768356894
2013-09-29 21:47:00,175.9722442627,106,275.9722442627,152.7056427002,162.3355102539,11703.997296,148.250632416,2.357931544951888
2013-09-29 21:48:00,174.428894043,106,274.428894043,150.901763916,160.1082611084,11703.997296,150.201298632,2.3447450225983038
2013-09-29 21:49:00,172.6673431396,106,272.6673431396,146.8483886719,158.3298492432,11703.997296,150.201298632,2.329694174081771
2013-09-29 21:50:00,167.4879455566,106,267.48794555660004,148.9453582764,158.8190460205,11703.997296,150.201298632,2.285440937755665
2013-09-29 21:51:00,166.538192749,106,266.538192749,149.5688781738,158.5970611572,11703.997296,150.201298632,2.277326164797501
2013-09-29 21:52:00,162.4394378662,106,262.4394378662,145.5960235596,155.5303039551,11703.997296,150.201298632,2.242306036382051
2013-09-29 21:53:00,174.1269073486,106,274.1269073486,143.1826477051,154.9524230957,11703.997296,197.017287816,2.342164821263985
2013-09-29 21:54:00,164.3468933105,106,264.34689331050004,145.4836273193,154.2936401367,11703.997296,197.017287816,2.258603506349443
2013-09-29 21:55:00,162.2485656738,106,262.2485656738,142.575958252,151.5455169678,11703.997296,197.017287816,2.2406752072937253
2013-09-29 21:56:00,164.7302093506,106,264.73020935060003,147.6325073242,155.114364624,11703.997296,197.017287816,2.2618785928895866
2013-09-29 21:57:00,165.4918823242,106,265.4918823242,141.647064209,156.2373199463,11703.997296,197.017287816,2.268386394919413
2013-09-29 21:58:00,170.974822998,106,270.97482299800004,142.7242889404,158.2714996338,11703.997296,146.29996619999997,2.315233130569924
2013-09-29 21:59:00,172.5110168457,106,272.5110168457,148.4820098877,159.2034606934,11703.997296,146.29996619999997,2.3283585082408926
