,0.9,VM,my_lim,min,median,actual,usage,percent
2013-09-29 21:29:00,684.546081543,9,784.546081543,617.8362426758,657.0004882812,,676.8811801906668,
2013-09-29 21:30:00,729.8968505859,9,829.8968505859,615.2241821289,659.1697998047,2925.999338,676.8811801906668,28.362851618181057
2013-09-29 21:31:00,692.1468505859,9,792.1468505859,624.2315063477,654.9228515625,2925.999338,676.8811801906668,27.072694115076384
2013-09-29 21:32:00,692.2721557617,9,792.2721557617,616.914855957,652.7951049805,2925.999338,676.8811801906668,27.076976589585954
2013-09-29 21:33:00,695.1049804688,9,795.1049804688,628.3428955078,658.3768310547,2925.999338,676.8811801906668,27.173792220071924
2013-09-29 21:34:00,689.7207641602,9,789.7207641602,594.912902832,653.1640014648,2925.999338,676.8811801906668,26.989779317585068
2013-09-29 21:35:00,705.4396972656,9,805.4396972656,594.6625366211,656.0159301758,2925.999338,676.8811801906668,27.526995198028303
2013-09-29 21:36:00,707.330078125,9,807.330078125,614.0840454102,655.1246948242,2925.999338,676.8811801906668,27.59160153046487
2013-09-29 21:37:00,698.4028320312,9,798.4028320312,612.8403320312,658.1375732422,2925.999338,676.8811801906668,27.286500774703864
2013-09-29 21:38:00,685.1212768555,9,785.1212768555,625.8126220703,655.8128662109,2925.999338,674.9305139653334,26.8325855942316
2013-09-29 21:39:00,696.8338623047,9,796.8338623047,623.6094360352,656.8834838867,2925.999338,674.9305139653334,27.232879104113454
2013-09-29 21:40:00,690.4010009766,9,790.4010009766,612.4803466797,656.7637329102,2925.999338,674.9305139653334,27.013027334341793
2013-09-29 21:41:00,691.561340332,9,791.561340332,619.5532226562,657.5498657227,2925.999338,674.9305139653334,27.052683507203174
2013-09-29 21:42:00,699.3892211914,9,799.3892211914,625.1085205078,650.8348999023,2925.999338,674.9305139653334,27.320211963472424
2013-09-29 21:43:00,699.3316650391,9,799.3316650391,616.9985351562,655.6526489258,2925.999338,672.97984774,27.31824490382369
2013-09-29 21:44:00,686.8687744141,9,786.8687744141,602.6711425781,655.2597045898,2925.999338,672.97984774,26.892308695870938
2013-09-29 21:45:00,705.089050293,9,805.089050293,618.5077514648,660.458984375,2925.999338,672.97984774,27.515011361666957
2013-09-29 21:46:00,681.1282348633,9,781.1282348633,616.9866943359,648.8050537109,2925.999338,672.97984774,26.69611796280249
2013-09-29 21:47:00,702.4706420898,9,802.4706420898,616.8911743164,653.9637451172,2925.999338,672.97984774,27.425523706314657
2013-09-29 21:48:00,681.3499755859,9,781.3499755859,627.998046875,658.4602050781,2925.999338,674.9305139653334,26.70369625305431
2013-09-29 21:49:00,684.5726318359,9,784.5726318359,615.0816650391,652.8713989258,2925.999338,674.9305139653334,26.81383490579245
2013-09-29 21:50:00,686.7052612305,9,786.7052612305,615.1180419922,653.5801391602,2925.999338,674.9305139653334,26.88672041081986
2013-09-29 21:51:00,704.2769165039,9,804.2769165039,629.8895263672,662.7063598633,2925.999338,674.9305139653334,27.48725558679193
2013-09-29 21:52:00,699.8368530273,9,799.8368530273,620.8204345703,655.9896240234,2925.999338,674.9305139653334,27.33551038921322
2013-09-29 21:53:00,698.8671264648,9,798.8671264648,633.515625,657.6737670898,2925.999338,671.0291815146668,27.302368667343835
2013-09-29 21:54:00,709.7437744141,9,809.7437744141,624.3385620117,659.8320922852,2925.999338,671.0291815146668,27.674092878215816
2013-09-29 21:55:00,708.686706543,9,808.686706543,620.6131591797,656.3740844727,2925.999338,671.0291815146668,27.6379661485419
2013-09-29 21:56:00,707.5849609375,9,807.5849609375,613.8258666992,655.0441894531,2925.999338,671.0291815146668,27.600312496635976
2013-09-29 21:57:00,687.3835449219,9,787.3835449219,620.3275756836,655.6695556641,2925.999338,671.0291815146668,26.90990167687796
2013-09-29 21:58:00,685.3872070312,9,785.3872070312,622.8446044922,655.7196044922,2925.999338,676.8811801906668,26.841674119039048
