start,target
2013-06-30 22:03:24,87.7799835
2013-06-30 22:08:24,29.2599945
2013-06-30 22:13:24,27.3093282
2013-06-30 22:18:24,23.4079956
2013-06-30 22:23:24,19.506663
2013-06-30 22:28:24,29.2599945
2013-06-30 22:33:24,29.2599945
2013-06-30 22:38:24,29.2599945
2013-06-30 22:43:24,29.2599945
2013-06-30 22:48:24,19.506663
2013-06-30 22:53:24,27.3093282
2013-06-30 22:58:24,29.2599945
2013-06-30 23:03:24,29.2599945
2013-06-30 23:08:24,25.3586619
2013-06-30 23:13:24,27.3093282
2013-06-30 23:18:24,29.2599945
2013-06-30 23:23:24,29.2599945
2013-06-30 23:28:23,25.3586619
2013-06-30 23:33:23,11.7039978
2013-06-30 23:38:23,29.2599945
2013-06-30 23:43:23,29.2599945
2013-06-30 23:48:23,25.3586619
2013-06-30 23:53:23,25.3586619
2013-06-30 23:58:23,29.2599945
2013-07-01 00:03:24,29.2599945
2013-07-01 00:08:24,29.2599945
2013-07-01 00:13:24,29.2599945
2013-07-01 00:18:24,29.2599945
2013-07-01 00:23:24,29.2599945
2013-07-01 00:28:24,29.2599945
2013-07-01 00:33:24,25.3586619
2013-07-01 00:38:24,21.4573293
2013-07-01 00:43:24,27.3093282
2013-07-01 00:48:24,29.2599945
2013-07-01 00:53:24,29.2599945
2013-07-01 00:58:24,27.3093282
2013-07-01 01:03:24,29.2599945
2013-07-01 01:08:24,27.3093282
2013-07-01 01:13:24,29.2599945
2013-07-01 01:18:24,29.2599945
2013-07-01 01:23:24,29.2599945
2013-07-01 01:28:24,29.2599945
2013-07-01 01:33:24,29.2599945
2013-07-01 01:38:24,27.3093282
2013-07-01 01:43:25,29.2599945
2013-07-01 01:48:25,23.4079956
2013-07-01 01:53:25,29.2599945
2013-07-01 01:58:25,29.2599945
2013-07-01 02:03:25,29.2599945
2013-07-01 02:08:25,29.2599945
2013-07-01 02:13:25,29.2599945
2013-07-01 02:18:25,29.2599945
2013-07-01 02:23:25,29.2599945
2013-07-01 02:28:25,23.4079956
2013-07-01 02:33:25,25.3586619
2013-07-01 02:38:25,27.3093282
2013-07-01 02:43:25,29.2599945
2013-07-01 02:48:25,29.2599945
2013-07-01 02:53:25,29.2599945
2013-07-01 02:58:25,29.2599945
2013-07-01 03:03:25,29.2599945
2013-07-01 03:08:25,29.2599945
2013-07-01 03:13:25,29.2599945
2013-07-01 03:18:25,29.2599945
2013-07-01 03:23:25,29.2599945
2013-07-01 03:28:25,29.2599945
2013-07-01 03:33:25,29.2599945
2013-07-01 03:38:25,29.2599945
2013-07-01 03:43:25,29.2599945
2013-07-01 03:48:25,29.2599945
2013-07-01 03:53:25,19.506663
2013-07-01 03:58:25,25.3586619
2013-07-01 04:03:25,25.3586619
2013-07-01 04:08:25,29.2599945
2013-07-01 04:13:26,29.2599945
2013-07-01 04:18:26,29.2599945
2013-07-01 04:23:26,29.2599945
2013-07-01 04:28:26,27.3093282
2013-07-01 04:33:26,29.2599945
2013-07-01 04:38:26,29.2599945
2013-07-01 04:43:26,29.2599945
2013-07-01 04:48:26,29.2599945
2013-07-01 04:53:26,29.2599945
2013-07-01 04:58:26,25.3586619
2013-07-01 05:03:26,29.2599945
2013-07-01 05:08:26,29.2599945
2013-07-01 05:13:26,29.2599945
2013-07-01 05:18:26,29.2599945
2013-07-01 05:23:26,29.2599945
2013-07-01 05:28:26,29.2599945
2013-07-01 05:33:26,29.2599945
2013-07-01 05:38:26,29.2599945
2013-07-01 05:43:26,27.3093282
2013-07-01 05:48:26,29.2599945
2013-07-01 05:53:26,29.2599945
2013-07-01 05:58:26,29.2599945
2013-07-01 06:03:26,29.2599945
2013-07-01 06:08:26,27.3093282
2013-07-01 06:13:26,27.3093282
2013-07-01 06:18:26,29.2599945
2013-07-01 06:23:26,29.2599945
2013-07-01 06:28:26,29.2599945
2013-07-01 06:33:27,25.3586619
2013-07-01 06:38:27,25.3586619
2013-07-01 06:43:27,29.2599945
2013-07-01 06:48:27,29.2599945
2013-07-01 06:53:27,27.3093282
2013-07-01 06:58:27,13.654664099999998
2013-07-01 07:03:27,19.506663
2013-07-01 07:08:27,19.506663
2013-07-01 07:13:27,15.605330399999998
2013-07-01 07:18:27,327.71193839999995
2013-07-01 07:23:27,29.2599945
2013-07-01 07:28:27,29.2599945
2013-07-01 07:33:27,25.3586619
2013-07-01 07:38:27,21.4573293
2013-07-01 07:43:27,21.4573293
2013-07-01 07:48:27,29.2599945
2013-07-01 07:53:27,29.2599945
