Timestamp,VM,CPU capacity provisioned [MHZ],.90 predicted,cushion (5%),percent used,percent saved,,,
9/29/13 21:09,1,5851.99912,11.1010952,100,1.898515241,98.10148476,,,
9/29/13 21:10,1,5851.99912,10.00155354,100,1.879726078,98.12027392,,,
9/29/13 21:11,1,5851.99912,9.911661148,100,1.878189981,98.12181002,,,AVG saved over 5 VMs
9/29/13 21:12,1,5851.99912,10.23244858,100,1.883671653,98.11632835,,,96.28117006
9/29/13 21:13,1,5851.99912,9.030130386,100,1.863126227,98.13687377,,,
9/29/13 21:14,1,5851.99912,9.14279747,100,1.865051502,98.1349485,,,
9/29/13 21:15,1,5851.99912,8.895134926,100,1.8608194,98.1391806,,,
9/29/13 21:16,1,5851.99912,9.17886734,100,1.86566787,98.13433213,,,AVG saved over 10 VMs
9/29/13 21:17,1,5851.99912,9.130008698,100,1.864832965,98.13516704,,,96.86926588
9/29/13 21:18,1,5851.99912,10.04051876,100,1.880391923,98.11960808,,,
9/29/13 21:19,1,5851.99912,9.366303444,100,1.868870812,98.13112919,,,
9/29/13 21:20,1,5851.99912,10.0196228,100,1.880034849,98.11996515,,,
9/29/13 21:21,1,5851.99912,9.300915718,100,1.867753454,98.13224655,,,
9/29/13 21:22,1,5851.99912,10.11360359,100,1.881640809,98.11835919,,,
9/29/13 21:23,1,5851.99912,10.64681816,100,1.890752474,98.10924753,,,
9/29/13 21:24,1,5851.99912,10.52256203,100,1.888629163,98.11137084,,,
9/29/13 21:25,1,5851.99912,11.73974705,100,1.909428637,98.09057136,,,
9/29/13 21:26,1,5851.99912,12.38863182,100,1.920516895,98.0794831,,,
9/29/13 21:27,1,5851.99912,8.245116234,100,1.849711765,98.15028823,,,
9/29/13 21:28,1,5851.99912,12.07932854,100,1.915231466,98.08476853,,,
9/29/13 21:29,1,5851.99912,10.27124596,100,1.88433463,98.11566537,,,
9/29/13 21:30,1,5851.99912,9.066220284,100,1.863742937,98.13625706,,,
9/29/13 21:31,1,5851.99912,11.74500275,100,1.909518448,98.09048155,,,
9/29/13 21:32,1,5851.99912,10.31305981,100,1.885049152,98.11495085,,,
9/29/13 21:33,1,5851.99912,8.968523026,100,1.862073469,98.13792653,,,
9/29/13 21:34,1,5851.99912,11.92222214,100,1.912546804,98.0874532,,,
9/29/13 21:35,1,5851.99912,10.11585426,100,1.881679269,98.11832073,,,
9/29/13 21:36,1,5851.99912,10.59388638,100,1.889847967,98.11015203,,,
9/29/13 21:37,1,5851.99912,12.38106632,100,1.920387615,98.07961239,,,
9/29/13 21:38,1,5851.99912,12.66167927,100,1.925182779,98.07481722,,,
9/29/13 21:39,1,5851.99912,10.71541214,100,1.89192462,98.10807538,,,
9/29/13 21:40,1,5851.99912,11.03984737,100,1.897468627,98.10253137,,,
9/29/13 21:41,1,5851.99912,12.3726387,100,1.920243602,98.0797564,,,
9/29/13 21:42,1,5851.99912,10.26538849,100,1.884234536,98.11576546,,,
9/29/13 21:43,1,5851.99912,10.11505795,100,1.881665661,98.11833434,,,
9/29/13 21:44,1,5851.99912,10.61336613,100,1.89018084,98.10981916,,,
9/29/13 21:45,1,5851.99912,10.26276588,100,1.884189721,98.11581028,,,
9/29/13 21:46,1,5851.99912,10.44898415,100,1.887371852,98.11262815,,,
9/29/13 21:47,1,5851.99912,11.17532349,100,1.899783667,98.10021633,,,
9/29/13 21:48,1,5851.99912,9.56254673,100,1.872224252,98.12777575,,,
9/29/13 21:49,1,5851.99912,9.401568413,100,1.869473426,98.13052657,,,
9/29/13 21:50,1,5851.99912,9.126197815,100,1.864767844,98.13523216,,,
9/29/13 21:51,1,5851.99912,9.979261398,100,1.879345146,98.12065485,,,
9/29/13 21:52,1,5851.99912,10.52960491,100,1.888749514,98.11125049,,,
9/29/13 21:53,1,5851.99912,10.35034561,100,1.885686299,98.1143137,,,
9/29/13 21:54,1,5851.99912,10.4305706,100,1.887057198,98.1129428,,,
9/29/13 21:55,1,5851.99912,12.13938522,100,1.916257725,98.08374227,,,
9/29/13 21:56,1,5851.99912,9.607075691,100,1.87298517,98.12701483,,,
9/29/13 21:57,1,5851.99912,11.53743649,100,1.905971518,98.09402848,,,
