Timestamp,Timestamp [ms],CPU cores,CPU capacity provisioned [MHZ],CPU usage [MHZ],CPU usage [%],Memory capacity provisioned [KB],Memory usage [KB],Disk read throughput [KB/s],Disk write throughput [KB/s],Network received throughput [KB/s],Network transmitted throughput [KB/s],weekday,weekend,month,day,CPU usage prev,CPU_diff,received_prev,received_diff,transmitted_prev,transmitted_diff
2013-06-30 22:00:00,7000420415400,14040,38120181.2568729,1677021.660338998,19372.219543650892,48711881694.933334,1855677395.9618995,702984.9641025638,419335.8554945086,183190.94102564148,342367.54743589985,30600,5100.0,30600,153000,19414.112996031796,-43.39345238095198,180831.05054945033,2359.623809523788,326200.32362637547,16165.757142857054
2013-06-30 23:00:00,7000438772425,14040,38120181.240217894,1817519.4599896353,21302.382629870266,48712146865.73333,1805727062.7238097,912397.3134310119,597281.8086080573,242444.97912088083,408352.44029304147,30600,5100.0,30600,153000,21076.695129870222,225.68750000000068,241262.31245421394,1182.6666666666777,408959.50695970864,-607.0666666666907
2013-07-01 00:00:00,7000457135400,14040,38120181.226201884,1719935.6836598485,19897.29806998566,48712309021.59999,1742155201.1333315,967012.8969696955,1122391.30788378,279554.2502164509,479341.76839827007,0,0.0,35700,5100,20141.976542207867,-244.67847222222306,277536.65021645173,2017.6000000000547,473957.9017316039,5383.866666666667
2013-07-01 01:00:00,7000475496903,14040,38120181.23504787,1649799.219038807,19546.60049603182,48712776149.600006,1724193225.866663,1628856.2095238054,940304.9785714281,221960.78333333382,486785.5500000023,0,0.0,35700,5100,19328.684523809632,217.91597222222248,225730.98333333418,-3770.199999999986,480794.41666666896,5991.133333333335
2013-07-01 02:00:00,7000493860500,14040,38120181.24413185,1731963.0739120233,20524.19540598299,48713605982.13334,1782728594.605125,1413094.0122294335,1108243.9534798514,194033.99047619075,347217.5738095265,0,0.0,35700,5100,20509.355128205178,14.8402777777771,193461.19047619042,572.7999999999904,362464.4404761933,-15246.866666666701
2013-07-01 03:00:00,6966195995375,13972,37938165.30345486,1667130.2185843396,19924.12898351657,48418134655.200005,1728609262.8000026,813497.564285713,805343.9459706953,298718.361904763,354054.5904761924,0,0.0,35525,5075,20037.208050976944,-113.07906746031698,287468.7047619063,11249.657142857157,354818.3333333352,-763.7428571428579
2013-07-01 04:00:00,7000530584750,14040,38120181.29662087,1626905.935442418,19159.747252747322,48714162386.13334,1699943619.1413906,2022024.2496336964,595157.2765567778,184875.67838827794,343837.20109890343,0,0.0,35700,5100,19235.034851953686,-75.28759920634928,197746.40219780194,-12870.723809523797,339934.1249084275,3903.0761904761966
2013-07-01 05:00:00,6963487236138,13887,37709727.42403587,1592491.014286826,19056.996527777843,48209385291.19999,1748727978.7047625,672846.3857142847,417834.0245421279,189932.79120879102,343707.548351651,0,0.0,35511,5073,19082.075496031786,-25.078968253967933,187847.19120879087,2085.6000000000085,341944.215018318,1763.3333333333362
2013-07-01 06:00:00,6977232081231,13962,37908639.34886189,1621074.350957137,19347.34362512495,48564894892.8,1730984661.1809523,601374.464285713,341198.86794871994,175795.84761904716,263894.680219783,0,0.0,35581,5083,19122.163962426504,225.1796626984123,176488.84761904762,-692.9999999999807,284614.0802197834,-20719.400000000045
2013-07-01 07:00:00,7000585671125,14040,38120181.25296286,1923473.6342121833,19881.045528083116,48714780155.466675,1972366215.7714255,611093.4047619038,389450.5562271082,163821.51190476137,195246.38095238258,0,0.0,35700,5100,19936.405547924376,-55.36001984127105,169150.01190476184,-5328.499999999995,194445.83333333486,800.5476190476437
2013-07-01 08:00:00,7000604032825,14040,38120181.25439485,2919915.6084648054,25434.636507936648,48715184185.980965,2305530177.3999977,507990.34285714256,357525.0517815525,184405.3864468867,244000.92930403177,0,0.0,35700,5100,24991.933432539805,442.7030753968254,183569.88644688673,835.5000000000296,244029.01025641235,-28.080952380974537
2013-07-01 09:00:00,7000622392825,14040,38120181.26635181,2639690.390815566,25340.924717643564,48716298484.533325,2248822274.848349,1079340.149999998,616580.218184596,287637.6333333347,526937.0222222235,0,0.0,35700,5100,24578.083050976893,762.8416666666674,256048.76666666777,31588.86666666673,414356.6222222232,112580.40000000008
2013-07-01 10:00:00,7000640755800,14040,38120181.257507846,4034221.6429734533,31774.43870851394,48716676120.26667,2956787876.7872972,678575.4844988333,815831.7845737593,550308.4316183839,1032929.2787545726,0,0.0,35700,5100,32444.467081529812,-670.0283730158739,504731.9271894791,45576.504428904416,990193.7999666934,42735.478787878834
2013-07-01 11:00:00,7000659117303,14040,38120181.25897784,2313830.6010245094,23876.605738705755,48718081196.0,2289819235.9970727,641306.0855311352,842075.8223443221,203346.36630036746,223497.30494505758,0,0.0,35700,5100,24372.973199023214,-496.36746031746344,277830.404062605,-74484.03776223764,376889.0503996027,-153391.74545454516
2013-07-01 12:00:00,7000677480900,14045,38132181.28323487,2041862.63780387,22605.226699689254,48718460173.45641,2165678643.214718,770898.7653846146,911097.9433399942,193455.78388555982,199477.25970973627,0,0.0,35700,5100,22495.80864413369,109.41805555555722,191001.03666333738,2454.747222222234,198491.64582084728,985.6138888888934
2013-07-01 13:00:00,7000695841750,14052,38148981.2879329,2572664.9050890137,25917.88025793662,48707914484.53334,2119074190.4791174,458787.57182539644,884485.1428737894,266037.14938950085,292239.882387059,0,0.0,35700,5100,24379.778769841345,1538.1014880952384,243570.1735348003,22466.975854700857,272439.85012210195,19800.032264957277
